,ID,Language,Subscription Type,Subscription Event Type,Purchase Store,Purchase Amount,Currency,Subscription Start Date,Subscription Expiration,Demo User,Free Trial User,Free Trial Start Date,Free Trial Expiration,Auto Renew,Country,User Type,Lead Platform,Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count,InvoiceDate,Cluster
36,135,ALL,Lifetime,INITIAL_PURCHASE,Web,189.0,USD,2020-02-27,2099-01-01,No,Yes,2/26/2020,2/29/2020,Off,US/Canada,Consumer,Web,Yes,Yes,13.0,1.0,0.0,1.0,0.0,2020-02-27,0
39,147,ALL,Limited,INITIAL_PURCHASE,Web,289.19,USD,2020-03-22,2022-03-22,No,Yes,3/19/2020,3/22/2020,On,Europe,Consumer,Web,Yes,Yes,13.0,1.0,1.0,1.0,1.0,2020-03-22,0
42,153,ENG,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-08-26,2019-11-29,No,Yes,8/26/2019,8/29/2019,On,US/Canada,Consumer,Web,Yes,Yes,78.0,0.0,0.0,0.0,0.0,2019-08-26,1
45,156,CHI,Limited,INITIAL_PURCHASE,Web,29.64,USD,2020-03-20,2020-06-24,No,Yes,3/20/2020,3/23/2020,On,Europe,Consumer,Web,Yes,Yes,27.0,21.0,20.0,3.0,2.0,2020-03-20,0
48,157,ENG,Limited,INITIAL_PURCHASE,Web,0.0,USD,2019-04-28,2021-03-11,No,Yes,2/5/2020,2/8/2020,Off,Other,Consumer,Web,Yes,Yes,7.0,5.0,0.0,2.0,0.0,2019-04-28,1
51,180,ESP,Limited,RENEWAL,Web,35.97,USD,2019-07-11,2020-07-14,No,Yes,7/11/2019,7/14/2019,On,US/Canada,Consumer,Web,Yes,Yes,8.0,5.0,0.0,1.0,0.0,2019-07-11,1
54,187,ALL,Limited,INITIAL_PURCHASE,Web,99.0,USD,2020-03-15,2021-03-15,No,Yes,3/12/2020,3/15/2020,On,US/Canada,Consumer,Web,No,Yes,2.0,2.0,0.0,1.0,0.0,2020-03-15,0
57,224,POR,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-02-28,2020-06-14,No,Yes,2/28/2020,3/2/2020,Off,Other,Consumer,Web,No,Yes,11.0,3.0,0.0,1.0,0.0,2020-02-28,0
60,225,ESC,Limited,INITIAL_PURCHASE,Web,11.52,USD,2019-05-21,2021-05-21,No,Yes,5/16/2019,5/19/2019,On,Europe,Consumer,App,Yes,Yes,2.0,0.0,0.0,0.0,0.0,2019-05-21,1
63,236,ESP,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-07-23,2019-10-26,No,Yes,7/23/2019,7/26/2019,Off,US/Canada,Consumer,Web,Yes,Yes,181.0,7.0,0.0,6.0,0.0,2019-07-23,1
66,245,KOR,Limited,INITIAL_PURCHASE,Web,47.19,USD,2020-03-03,2020-06-07,No,Yes,3/3/2020,3/6/2020,On,Europe,Consumer,Web,No,Yes,3.0,0.0,0.0,0.0,0.0,2020-03-03,0
69,246,ALL,Limited,INITIAL_PURCHASE,Web,116.01,USD,2020-03-15,2021-03-15,No,Yes,12/11/2019,12/14/2019,On,Europe,Consumer,Web,No,Yes,12.0,12.0,10.0,2.0,1.0,2020-03-15,0
72,248,ENG,Limited,RENEWAL,Web,35.97,USD,2019-08-24,2020-05-27,No,Yes,8/24/2019,8/27/2019,On,US/Canada,Consumer,Web,Yes,Yes,6.0,5.0,0.0,2.0,0.0,2019-08-24,1
75,259,ALL,Lifetime,INITIAL_PURCHASE,Web,189.0,USD,2020-03-02,2099-01-01,No,Yes,2/16/2020,2/19/2020,Off,US/Canada,Consumer,Web,Yes,Yes,29.0,10.0,6.0,4.0,2.0,2020-03-02,0
78,283,ITA,Limited,INITIAL_PURCHASE,Web,69.5,USD,2019-12-10,2020-06-18,No,Yes,12/10/2019,12/13/2019,On,US/Canada,Consumer,Web,Yes,Yes,131.0,0.0,0.0,0.0,0.0,2019-12-10,1
81,285,ESC,Limited,INITIAL_PURCHASE,Web,54.21,USD,2019-11-23,2020-06-01,No,Yes,3/30/2020,4/2/2020,Off,Other,Consumer,Web,No,Yes,3.0,3.0,2.0,2.0,1.0,2019-11-23,1
84,302,ESP,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-08-11,2020-03-07,No,Yes,8/11/2019,8/14/2019,Off,US/Canada,Consumer,Web,Yes,Yes,24.0,0.0,0.0,0.0,0.0,2019-08-11,1
87,331,FRA,Limited,INITIAL_PURCHASE,Web,130.68,USD,2020-02-01,2020-08-04,No,Yes,2/1/2020,2/4/2020,Off,Europe,Consumer,Web,No,Yes,6.0,2.0,0.0,2.0,0.0,2020-02-01,0
90,352,ITA,Limited,INITIAL_PURCHASE,Web,114.34,USD,2019-07-31,2020-08-07,No,Yes,2/1/2020,2/4/2020,Off,Europe,Consumer,Web,No,Yes,13.0,12.0,3.0,7.0,2.0,2019-07-31,1
93,357,ESP,Limited,INITIAL_PURCHASE,Web,42.46,USD,2019-09-24,2020-03-27,No,Yes,9/24/2019,9/27/2019,Off,US/Canada,Consumer,Web,Yes,Yes,7.0,1.0,0.0,1.0,0.0,2019-09-24,1
96,362,ESP,Limited,RENEWAL,Web,35.97,USD,2019-08-26,2020-05-29,No,Yes,8/26/2019,8/29/2019,On,US/Canada,Consumer,Web,Yes,Yes,6.0,5.0,0.0,2.0,0.0,2019-08-26,1
99,376,ENG,Limited,RENEWAL,Web,35.97,USD,2019-12-15,2020-06-15,No,Yes,12/8/2019,12/11/2019,On,US/Canada,Consumer,Web,Yes,Yes,4.0,1.0,0.0,1.0,0.0,2019-12-15,1
102,378,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-03-24,2020-06-30,No,Yes,3/24/2020,3/27/2020,On,US/Canada,Consumer,Web,No,Yes,2.0,2.0,0.0,1.0,0.0,2020-03-24,0
105,403,ESC,Limited,INITIAL_PURCHASE,Web,71.39,USD,2020-01-19,2020-04-22,No,Yes,1/19/2020,1/22/2020,Off,Europe,Consumer,Web,No,Yes,5.0,5.0,3.0,3.0,2.0,2020-01-19,1
108,406,ESP,Limited,INITIAL_PURCHASE,Web,42.27,USD,2019-08-25,2020-02-28,No,Yes,8/25/2019,8/28/2019,Off,US/Canada,Consumer,Web,Yes,Yes,17.0,0.0,0.0,0.0,0.0,2019-08-25,1
111,408,KOR,Limited,INITIAL_PURCHASE,Web,39.0,USD,2020-01-13,2020-04-20,No,Yes,1/13/2020,1/16/2020,Off,US/Canada,Consumer,Web,Yes,Yes,14.0,2.0,0.0,2.0,0.0,2020-01-13,1
114,428,FRA,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-07-22,2019-10-25,No,Yes,7/22/2019,7/25/2019,Off,US/Canada,Consumer,Web,Yes,Yes,122.0,0.0,0.0,0.0,0.0,2019-07-22,1
117,445,ALL,Limited,INITIAL_PURCHASE,Web,95.88,USD,2020-03-16,2021-03-16,No,Yes,2/18/2020,2/21/2020,On,US/Canada,Consumer,Web,Yes,Yes,51.0,1.0,1.0,1.0,1.0,2020-03-16,0
120,448,ENG,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-06-10,2020-04-10,No,Yes,1/7/2020,1/10/2020,Off,US/Canada,Consumer,Web,Yes,Yes,21.0,8.0,0.0,2.0,0.0,2019-06-10,1
123,455,ITA,Limited,INITIAL_PURCHASE,Web,41.5,USD,2020-03-18,2020-06-18,No,Yes,3/17/2020,3/20/2020,On,Europe,Consumer,Web,Yes,Yes,7.0,1.0,1.0,1.0,1.0,2020-03-18,0
126,456,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-02-20,2099-01-01,No,Yes,2/20/2020,2/23/2020,Off,US/Canada,Consumer,Web,Yes,Yes,23.0,22.0,0.0,4.0,0.0,2020-02-20,0
129,466,ALL,Lifetime,INITIAL_PURCHASE,Web,212.13,USD,2020-03-17,2099-01-01,No,Yes,12/3/2019,12/6/2019,Off,US/Canada,Consumer,Web,Yes,Yes,14.0,6.0,0.0,3.0,0.0,2020-03-17,0
132,468,ESP,Limited,INITIAL_PURCHASE,Web,126.44,USD,2019-10-13,2020-04-16,No,Yes,10/13/2019,10/16/2019,Off,US/Canada,Consumer,Web,Yes,Yes,5.0,4.0,0.0,3.0,0.0,2019-10-13,1
135,476,ESP,Limited,RENEWAL,Web,79.0,USD,2019-07-09,2020-04-12,No,Yes,7/9/2019,7/12/2019,Off,US/Canada,Consumer,Web,Yes,Yes,5.0,2.0,0.0,1.0,0.0,2019-07-09,1
138,513,EBR,Limited,INITIAL_PURCHASE,Web,64.61,USD,2019-11-07,2020-05-14,No,Yes,11/7/2019,11/10/2019,Off,Europe,Consumer,Web,Yes,Yes,66.0,63.0,0.0,34.0,0.0,2019-11-07,1
141,543,KOR,Limited,INITIAL_PURCHASE,Web,29.64,USD,2019-12-28,2020-04-03,No,Yes,12/28/2019,12/31/2019,Off,Europe,Consumer,Web,No,Yes,5.0,4.0,0.0,1.0,0.0,2019-12-28,1
144,544,HIN,Limited,INITIAL_PURCHASE,Web,35.97,USD,2019-11-25,2020-06-26,No,Yes,1/1/2020,1/4/2020,On,US/Canada,Consumer,Web,Yes,Yes,15.0,0.0,0.0,0.0,0.0,2019-11-25,1
147,546,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-09,2099-01-01,No,Yes,3/5/2020,3/8/2020,Off,US/Canada,Consumer,Web,Yes,Yes,12.0,9.0,6.0,3.0,2.0,2020-03-09,0
150,551,HIN,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-07-05,2019-10-08,No,Yes,7/5/2019,7/8/2019,Off,US/Canada,Consumer,Web,Yes,Yes,176.0,30.0,0.0,26.0,0.0,2019-07-05,1
153,555,FRA,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-08-17,2019-11-20,No,Yes,8/17/2019,8/20/2019,Off,US/Canada,Consumer,Web,Yes,Yes,55.0,0.0,0.0,0.0,0.0,2019-08-17,1
156,562,ESP,Limited,INITIAL_PURCHASE,Web,39.16,USD,2019-09-27,2020-01-02,No,Yes,9/27/2019,9/30/2019,Off,US/Canada,Consumer,Web,No,Yes,83.0,13.0,1.0,3.0,1.0,2019-09-27,1
159,564,FRA,Limited,RENEWAL,Web,79.0,USD,2019-06-01,2019-12-04,No,Yes,6/1/2019,6/4/2019,Off,Europe,Consumer,Web,Yes,Yes,2.0,0.0,0.0,0.0,0.0,2019-06-01,1
162,566,ESP,Limited,RENEWAL,Web,35.97,USD,2019-08-17,2020-05-20,No,Yes,8/17/2019,8/20/2019,On,Other,Consumer,Web,Yes,Yes,5.0,0.0,0.0,0.0,0.0,2019-08-17,1
165,568,TGL,Limited,INITIAL_PURCHASE,Web,145.2,USD,2019-12-31,2022-01-03,No,Yes,12/31/2019,1/3/2020,Off,Europe,Consumer,Web,No,Yes,10.0,10.0,0.0,3.0,0.0,2019-12-31,0
168,569,DEU,Limited,RENEWAL,Web,35.97,USD,2019-08-26,2020-06-09,No,Yes,8/26/2019,8/29/2019,On,US/Canada,Consumer,Web,Yes,Yes,5.0,2.0,0.0,1.0,0.0,2019-08-26,1
171,579,ALL,Lifetime,INITIAL_PURCHASE,Web,189.0,USD,2020-02-19,2099-01-01,No,Yes,10/22/2019,10/25/2019,Off,US/Canada,Consumer,Web,Yes,Yes,33.0,33.0,17.0,21.0,7.0,2020-02-19,0
174,586,FRA,Limited,INITIAL_PURCHASE,Web,35.97,USD,2019-09-27,2020-05-05,No,Yes,10/4/2019,10/7/2019,On,Other,Consumer,Web,No,Yes,31.0,0.0,0.0,0.0,0.0,2019-09-27,1
177,593,ALL,Lifetime,INITIAL_PURCHASE,Web,189.0,USD,2020-02-22,2099-01-01,No,Yes,2/21/2020,2/24/2020,Off,US/Canada,Consumer,Web,Yes,Yes,124.0,35.0,21.0,23.0,10.0,2020-02-22,0
180,596,ARA,Limited,INITIAL_PURCHASE,Web,25.25,USD,2019-02-17,2020-02-20,No,Yes,12/19/2019,12/22/2019,Off,Europe,Consumer,Web,No,Yes,1.0,1.0,1.0,1.0,1.0,2019-02-17,1
183,601,ENG,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-08-29,2020-03-01,No,Yes,8/29/2019,9/1/2019,Off,Other,Consumer,Web,Yes,Yes,52.0,23.0,8.0,2.0,1.0,2019-08-29,1
186,611,ALL,Lifetime,INITIAL_PURCHASE,Web,216.66,USD,2020-03-19,2099-01-01,No,Yes,3/2/2020,3/5/2020,Off,US/Canada,Consumer,Web,Yes,Yes,41.0,18.0,14.0,6.0,3.0,2020-03-19,0
189,675,ALL,Lifetime,INITIAL_PURCHASE,Web,189.0,USD,2020-02-23,2099-01-01,No,Yes,2/23/2020,2/26/2020,Off,Other,Consumer,Web,No,Yes,134.0,39.0,22.0,12.0,2.0,2020-02-23,0
192,693,ENG,Limited,INITIAL_PURCHASE,Web,47.19,USD,2020-01-03,2020-04-15,No,Yes,1/3/2020,1/6/2020,Off,Europe,Consumer,Web,No,Yes,15.0,7.0,4.0,2.0,1.0,2020-01-03,1
195,700,ESC,Limited,RENEWAL,Web,49.83,USD,2020-01-06,2020-07-14,No,Yes,1/6/2020,1/9/2020,On,Europe,Consumer,Web,No,Yes,28.0,14.0,14.0,1.0,1.0,2020-01-06,1
198,722,DEU,Limited,INITIAL_PURCHASE,Web,0.0,USD,2018-12-09,2019-12-09,No,Yes,9/8/2014,9/11/2014,Off,US/Canada,Consumer,App,Yes,Yes,161.0,1.0,0.0,1.0,0.0,2018-12-09,1
201,724,ESP,Limited,RENEWAL,Web,79.0,USD,2019-11-10,2020-05-14,No,Yes,11/10/2019,11/13/2019,Off,US/Canada,Consumer,Web,Yes,Yes,5.0,0.0,0.0,0.0,0.0,2019-11-10,1
204,743,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-18,2099-01-01,No,Yes,3/18/2020,3/21/2020,Off,US/Canada,Consumer,Web,Yes,Yes,9.0,3.0,3.0,1.0,1.0,2020-03-18,0
207,753,ALL,Limited,INITIAL_PURCHASE,Web,95.88,USD,2020-03-06,2021-03-06,No,Yes,3/6/2020,3/9/2020,On,US/Canada,Consumer,Web,No,Yes,1.0,0.0,0.0,0.0,0.0,2020-03-06,0
210,758,POL,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-03-21,2020-06-24,No,Yes,3/21/2020,3/24/2020,On,Europe,Consumer,Web,No,Yes,1.0,0.0,0.0,0.0,0.0,2020-03-21,0
213,762,DEU,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-08-13,2019-12-15,No,Yes,8/13/2019,8/16/2019,Off,US/Canada,Consumer,Web,Yes,Yes,1.0,0.0,0.0,0.0,0.0,2019-08-13,1
216,768,RUS,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-06-10,2021-06-13,No,Yes,6/10/2019,6/13/2019,Off,US/Canada,Consumer,Web,Yes,Yes,3.0,0.0,0.0,0.0,0.0,2019-06-10,1
219,773,ESP,Limited,INITIAL_PURCHASE,Web,41.11,USD,2019-08-16,2020-02-22,No,Yes,8/16/2019,8/19/2019,Off,US/Canada,Consumer,Web,Yes,Yes,52.0,8.0,0.0,4.0,0.0,2019-08-16,1
222,775,HIN,Limited,INITIAL_PURCHASE,Web,39.0,USD,2020-01-09,2020-04-09,No,Yes,9/24/2018,9/27/2018,Off,US/Canada,Consumer,App,Yes,Yes,41.0,39.0,5.0,16.0,2.0,2020-01-09,1
225,780,DEU,Limited,RENEWAL,Web,79.0,USD,2019-07-28,2020-04-30,No,Yes,7/28/2019,7/31/2019,On,US/Canada,Consumer,App,No,Yes,3.0,2.0,0.0,1.0,0.0,2019-07-28,1
228,784,ENG,Limited,INITIAL_PURCHASE,Web,41.57,USD,2019-08-13,2020-02-16,No,Yes,8/13/2019,8/16/2019,Off,US/Canada,Consumer,App,Yes,Yes,48.0,0.0,0.0,0.0,0.0,2019-08-13,1
231,799,ESP,Limited,INITIAL_PURCHASE,Web,32.37,USD,2019-09-04,2020-03-08,No,Yes,9/4/2019,9/7/2019,Off,US/Canada,Consumer,Web,Yes,Yes,18.0,0.0,0.0,0.0,0.0,2019-09-04,1
234,800,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-28,2099-01-01,No,Yes,1/15/2020,1/18/2020,Off,US/Canada,Consumer,Web,Yes,Yes,13.0,10.0,0.0,7.0,0.0,2020-03-28,0
237,806,ESC,Limited,INITIAL_PURCHASE,Web,144.72,USD,2020-03-28,2021-03-31,No,Yes,3/28/2020,3/31/2020,Off,Europe,Consumer,Web,No,Yes,19.0,19.0,5.0,4.0,1.0,2020-03-28,0
240,832,ESP,Limited,INITIAL_PURCHASE,Web,38.13,USD,2020-01-22,2020-04-26,No,Yes,1/22/2020,1/25/2020,Off,US/Canada,Consumer,Web,Yes,Yes,39.0,33.0,18.0,6.0,3.0,2020-01-22,1
243,834,DEU,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-02-12,2020-06-01,No,Yes,2/12/2020,2/15/2020,Off,Other,Consumer,Web,No,Yes,25.0,9.0,3.0,4.0,1.0,2020-02-12,1
246,835,ESP,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-07-02,2019-10-05,No,Yes,7/2/2019,7/5/2019,Off,US/Canada,Consumer,Web,No,Yes,31.0,12.0,1.0,9.0,1.0,2019-07-02,1
249,851,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-01-29,2020-05-01,No,Yes,1/29/2020,2/1/2020,On,Other,Consumer,Web,No,Yes,1.0,1.0,0.0,1.0,0.0,2020-01-29,1
252,874,ESP,Limited,RENEWAL,Web,35.97,USD,2019-06-15,2020-06-18,No,Yes,6/15/2019,6/18/2019,On,US/Canada,Consumer,Web,Yes,Yes,4.0,0.0,0.0,0.0,0.0,2019-06-15,1
255,893,ARA,Limited,RENEWAL,Web,35.97,USD,2019-10-05,2020-07-08,No,Yes,10/5/2019,10/8/2019,On,Other,Consumer,Web,Yes,Yes,2.0,0.0,0.0,0.0,0.0,2019-10-05,1
258,902,ESC,Limited,INITIAL_PURCHASE,Web,54.21,USD,2019-11-13,2020-02-26,No,Yes,11/23/2019,11/26/2019,Off,Europe,Consumer,Web,No,Yes,2.0,2.0,0.0,2.0,0.0,2019-11-13,1
261,909,ESP,Limited,INITIAL_PURCHASE,Web,41.44,USD,2019-08-16,2019-11-19,No,Yes,8/16/2019,8/19/2019,Off,US/Canada,Consumer,Web,No,Yes,4.0,1.0,1.0,1.0,1.0,2019-08-16,1
264,929,DEU,Limited,INITIAL_PURCHASE,Web,0.0,USD,2018-10-02,2019-10-02,No,Yes,12/15/2019,12/18/2019,On,Europe,Consumer,Web,No,Yes,1.0,0.0,0.0,0.0,0.0,2018-10-02,1
267,938,DEU,Limited,INITIAL_PURCHASE,Web,38.49,USD,2020-03-28,2020-07-05,No,Yes,3/28/2020,4/4/2020,On,US/Canada,Consumer,Web,Yes,Yes,109.0,56.0,18.0,23.0,1.0,2020-03-28,0
270,953,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,2019-09-04,2019-12-07,No,Yes,9/4/2019,9/7/2019,Off,US/Canada,Consumer,Web,Yes,Yes,172.0,1.0,0.0,1.0,0.0,2019-09-04,1
273,971,ESP,Limited,RENEWAL,Web,19.99,USD,2019-12-10,2020-05-18,No,Yes,12/10/2019,12/13/2019,On,US/Canada,Consumer,Web,Yes,Yes,19.0,18.0,0.0,2.0,0.0,2019-12-10,1
276,979,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-17,2099-01-01,No,Yes,10/13/2019,10/16/2019,Off,US/Canada,Consumer,Web,Yes,Yes,51.0,21.0,9.0,12.0,4.0,2020-03-17,0
279,986,CHI,Limited,INITIAL_PURCHASE,Web,65.94,USD,2019-10-18,2020-04-21,No,Yes,10/18/2019,10/21/2019,Off,Other,Consumer,Web,Yes,Yes,6.0,6.0,0.0,1.0,0.0,2019-10-18,1
282,998,ESP,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-08-05,2019-11-08,No,Yes,8/5/2019,8/8/2019,Off,US/Canada,Consumer,Web,Yes,Yes,76.0,0.0,0.0,0.0,0.0,2019-08-05,1
285,1002,NED,Limited,INITIAL_PURCHASE,Web,82.72,USD,2020-01-17,2020-04-21,No,Yes,1/17/2020,1/20/2020,Off,US/Canada,Consumer,Web,Yes,Yes,10.0,4.0,0.0,3.0,0.0,2020-01-17,0
288,1005,RUS,Limited,INITIAL_PURCHASE,Web,37.77,USD,2020-02-25,2020-05-28,No,Yes,2/25/2020,2/28/2020,On,US/Canada,Consumer,Web,Yes,Yes,21.0,2.0,0.0,1.0,0.0,2020-02-25,0
291,1015,CHI,Lifetime,INITIAL_PURCHASE,Web,156.09,USD,2019-11-08,2099-01-01,No,Yes,11/8/2019,11/11/2019,Off,Europe,Consumer,Web,Yes,Yes,43.0,30.0,5.0,13.0,2.0,2019-11-08,1
294,1021,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-25,2099-01-01,No,Yes,3/25/2020,3/28/2020,Off,US/Canada,Consumer,Web,Yes,Yes,173.0,24.0,20.0,6.0,2.0,2020-03-25,0
297,1026,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-30,2099-01-01,No,Yes,3/25/2020,3/28/2020,Off,US/Canada,Consumer,Web,No,Yes,4.0,4.0,2.0,2.0,1.0,2020-03-30,0
300,1034,ENG,Limited,INITIAL_PURCHASE,Web,35.97,USD,2019-08-13,2019-11-16,No,Yes,8/13/2019,8/16/2019,Off,US/Canada,Consumer,Web,Yes,Yes,183.0,16.0,2.0,15.0,1.0,2019-08-13,1
303,1038,FRA,Limited,INITIAL_PURCHASE,Web,19.99,USD,2019-12-31,2020-02-06,No,Yes,12/31/2019,1/3/2020,On,US/Canada,Consumer,Web,Yes,Yes,161.0,68.0,36.0,28.0,10.0,2019-12-31,1
306,1043,ITA,Limited,INITIAL_PURCHASE,Web,35.97,USD,2019-11-29,2020-03-02,No,Yes,11/29/2019,12/2/2019,Off,US/Canada,Consumer,Web,Yes,Yes,44.0,4.0,0.0,3.0,0.0,2019-11-29,1
309,1059,FRA,Limited,INITIAL_PURCHASE,Web,0.0,USD,2019-05-07,2019-08-07,No,Yes,3/26/2020,3/29/2020,Off,US/Canada,Consumer,Web,Yes,Yes,186.0,133.0,107.0,31.0,13.0,2019-05-07,1
312,1090,JPN,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-03-05,2020-06-09,No,Yes,3/5/2020,3/8/2020,On,US/Canada,Consumer,Web,Yes,Yes,11.0,8.0,0.0,4.0,0.0,2020-03-05,0
315,1105,ALL,Lifetime,INITIAL_PURCHASE,Web,189.0,USD,2020-03-04,2099-01-01,No,Yes,3/3/2020,3/6/2020,Off,US/Canada,Consumer,Web,Yes,Yes,7.0,0.0,0.0,0.0,0.0,2020-03-04,0
318,1110,ESC,Limited,INITIAL_PURCHASE,Web,41.5,USD,2020-03-22,2020-06-25,No,Yes,3/22/2020,3/25/2020,On,Europe,Consumer,Web,Yes,Yes,8.0,2.0,1.0,2.0,1.0,2020-03-22,0
321,1131,ALL,Limited,INITIAL_PURCHASE,Web,95.88,USD,2020-02-20,2021-02-20,No,Yes,2/12/2020,2/15/2020,On,US/Canada,Consumer,Web,Yes,Yes,14.0,2.0,1.0,2.0,1.0,2020-02-20,0
324,1133,ESC,Limited,INITIAL_PURCHASE,Web,54.49,USD,2020-02-21,2020-07-13,No,Yes,2/21/2020,2/24/2020,On,Europe,Consumer,Web,No,Yes,29.0,17.0,0.0,11.0,0.0,2020-02-21,0
327,1139,FRA,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-07-29,2019-11-01,No,Yes,7/29/2019,8/1/2019,Off,US/Canada,Consumer,Web,Yes,Yes,176.0,13.0,0.0,13.0,0.0,2019-07-29,1
330,1143,DEU,Limited,INITIAL_PURCHASE,Web,83.49,USD,2020-02-02,2021-02-09,No,Yes,2/2/2020,2/5/2020,On,Europe,Consumer,Web,No,Yes,18.0,11.0,6.0,4.0,2.0,2020-02-02,0
333,1161,ESP,Limited,RENEWAL,Web,79.0,USD,2019-07-28,2020-04-30,No,Yes,7/28/2019,7/31/2019,On,US/Canada,Consumer,Web,Yes,Yes,10.0,10.0,4.0,3.0,1.0,2019-07-28,1
336,1171,FRA,Limited,INITIAL_PURCHASE,Web,119.0,USD,2019-11-09,2020-05-12,No,Yes,11/9/2019,11/12/2019,Off,US/Canada,Consumer,Web,Yes,Yes,4.0,0.0,0.0,0.0,0.0,2019-11-09,1
